UserID;ScenarioID;controlMode;requestID;elapsedTimeSinceAccess;distanceTravelledSinceLastLog;distanceToEndOfInstructedPath;lengthOfCurrentInstructedPath;lengthOfCurrentInstructedInputPath;distanceToEnd;vehiclePosition;vehicleSpeed;constructionSiteEntered;endReached;closestLane;currentLaneDeviation;timeOfCollisionAvoidanceTraffic;timeOfCollisionAvoidanceObstacle;timeOfCollisionAvoidancePedestrian;amountOfAdditionInput;amountOfAdditionMarkers;amountOfSnapToMiddleInput;amountOfSnapToMiddleMarkers;amountOfReadjustmentInput;timeSinceLastInput;currentlyNeglectedTime;blindTimeSum;cameraPannedDistanceSum;cameraTravelledDistanceSum;zoomSize;followVehicleFocusTimeSum;followPathEndFocusTimeSum;isMainRequest;isSecondaryRequest;totalRequestAmount;sideOfConstructionSite;
FF23;7;Trajectory;1;0,0;0,01827567;202,0183;196,9147;196,9147;599,7175;(0.00, -0.44, 0.00);0;False;False;1;0,2369704;0,00;0,00;0,00;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;20;0,00;0,00;False;False;3;Left;
FF23;7;Trajectory;1;0,1;0,00971467;202,0085;196,9147;196,9147;599,7077;(0.00, -0.44, 0.01);0,5599532;False;False;1;0,2368183;0,00;0,00;0,00;0;0;0;0;0;0,1;0,0;0,0;0,0;1482,3;20;0,00;0,00;False;False;3;Left;
FF23;7;Trajectory;1;0,2;0,04425975;201,9643;196,9147;196,9147;599,6635;(-0.01, -0.44, 0.04);1,628355;False;False;1;0,2361271;0,00;0,00;0,00;0;0;0;0;0;0,2;0,0;0,0;0,0;1482,3;20;0,00;0,00;False;False;3;Left;
FF23;7;Trajectory;1;0,3;0,07749282;201,8868;196,9147;196,9147;599,5861;(-0.04, -0.44, 0.11);2,622109;False;False;1;0,235147;0,00;0,00;0,00;0;0;0;0;0;0,3;0,0;0,0;0,0;1482,3;20;0,00;0,00;False;False;3;Left;
FF23;7;Trajectory;1;0,4;0,09275679;201,7941;196,9147;196,9147;599,4933;(-0.06, -0.44, 0.19);3,462571;False;False;1;0,2344786;0,00;0,00;0,00;0;0;0;0;0;0,4;0,0;0,0;0,0;1482,4;20;0,00;0,00;False;False;3;Left;
FF23;7;Trajectory;1;0,5;0,1403386;201,6538;196,9147;196,9147;599,3531;(-0.10, -0.44, 0.30);4,526193;False;False;1;0,2316224;0,00;0,00;0,00;0;0;0;0;0;0,5;0,0;0,0;0,0;1482,5;20;0,00;0,00;False;False;3;Left;
FF23;7;Trajectory;1;0,6;0,1780994;201,4757;196,9147;196,9147;599,1751;(-0.15, -0.44, 0.45);5,669155;False;False;1;0,2287667;0,00;0,00;0,00;0;0;0;0;0;0,6;0,0;0,0;0,0;1482,6;20;0,00;0,00;False;False;3;Left;
FF23;7;Trajectory;1;0,7;0,2183932;201,2575;196,9147;196,9147;598,957;(-0.21, -0.44, 0.63);6,546598;False;False;1;0,2232222;0,00;0,00;0,00;0;0;0;0;0;0,7;0,0;0,0;0,0;1482,8;20;0,00;0,00;False;False;3;Left;
FF23;7;Trajectory;1;0,8;0,221974;201,0356;196,9147;196,9147;598,7353;(-0.28, -0.44, 0.81);8,050687;False;False;1;0,217121;0,00;0,00;0,00;0;0;0;0;0;0,8;0,0;0,0;0,0;1483,0;20;0,00;0,00;False;False;3;Left;
FF23;7;Trajectory;1;0,9;0,3017745;200,7341;196,9147;196,9147;598,434;(-0.37, -0.44, 1.06);9,470409;False;False;1;0,2070046;0,00;0,00;0,00;0;0;0;0;0;0,9;0,0;0,0;0,0;1483,2;20;0,00;0,00;False;False;3;Left;
