UserID;ScenarioID;controlMode;requestID;elapsedTimeSinceAccess;distanceTravelledSinceLastLog;distanceToEndOfInstructedPath;lengthOfCurrentInstructedPath;lengthOfCurrentInstructedInputPath;distanceToEnd;vehiclePosition;vehicleSpeed;constructionSiteEntered;endReached;closestLane;currentLaneDeviation;timeOfCollisionAvoidanceTraffic;timeOfCollisionAvoidanceObstacle;timeOfCollisionAvoidancePedestrian;amountOfAdditionInput;amountOfAdditionMarkers;amountOfSnapToMiddleInput;amountOfSnapToMiddleMarkers;amountOfReadjustmentInput;timeSinceLastInput;currentlyNeglectedTime;blindTimeSum;cameraPannedDistanceSum;cameraTravelledDistanceSum;zoomSize;followVehicleFocusTimeSum;followPathEndFocusTimeSum;isMainRequest;isSecondaryRequest;totalRequestAmount;sideOfConstructionSite;
RZ22;9;Waypoint;2;0,0;0,01820591;202,0199;196,9153;196,9153;599,7175;(0.00, -0.44, 0.00);0;False;False;1;0,236584;0,00;0,00;0,00;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;20;0,00;0,00;False;False;3;Left;
RZ22;9;Waypoint;2;0,1;0,01069065;202,0092;196,9153;196,9153;599,7067;(0.00, -0.44, 0.01);0,5814858;False;False;1;0,2362583;0,00;0,00;0,00;0;0;0;0;0;0,1;0,0;0,0;0,0;3681,5;20;0,00;0,00;False;False;3;Left;
RZ22;9;Waypoint;2;0,2;0,04496026;201,9643;196,9153;196,9153;599,6617;(-0.02, -0.44, 0.05);1,601488;False;False;1;0,2353043;0,00;0,00;0,00;0;0;0;0;0;0,2;0,0;0,0;0,0;3681,5;20;0,00;0,00;False;False;3;Left;
RZ22;9;Waypoint;2;0,3;0,07786638;201,8864;196,9153;196,9153;599,5839;(-0.04, -0.44, 0.11);2,633049;False;False;1;0,2341493;0,00;0,00;0,00;0;0;0;0;0;0,3;0,0;0,0;0,0;3681,6;20;0,00;0,00;False;False;3;Left;
RZ22;9;Waypoint;2;0,4;0,09299861;201,7935;196,9153;196,9153;599,4911;(-0.06, -0.44, 0.19);3,445019;False;False;1;0,232749;0,00;0,00;0,00;0;0;0;0;0;0,4;0,0;0,0;0,0;3681,7;20;0,00;0,00;False;False;3;Left;
RZ22;9;Waypoint;2;0,5;0,1411302;201,6524;196,9153;196,9153;599,3501;(-0.10, -0.44, 0.30);4,225799;False;False;1;0,230673;0,00;0,00;0,00;0;0;0;0;0;0,5;0,0;0,0;0,0;3681,7;20;0,00;0,00;False;False;3;Left;
RZ22;9;Waypoint;2;0,6;0,1777018;201,4747;196,9153;196,9153;599,1724;(-0.15, -0.44, 0.45);5,667029;False;False;1;0,2281616;0,00;0,00;0,00;0;0;0;0;0;0,6;0,0;0,0;0,0;3681,8;20;0,00;0,00;False;False;3;Left;
RZ22;9;Waypoint;2;0,7;0,1839393;201,2909;196,9153;196,9153;598,9886;(-0.21, -0.44, 0.60);6,711477;False;False;1;0,2229369;0,00;0,00;0,00;0;0;0;0;0;0,7;0,0;0,0;0,0;3682,1;20;0,00;0,00;False;False;3;Left;
RZ22;9;Waypoint;2;0,8;0,2548473;201,0362;196,9153;196,9153;598,7343;(-0.28, -0.44, 0.81);8,019917;False;False;1;0,2155467;0,00;0,00;0,00;0;0;0;0;0;0,8;0,0;0,0;0,0;3682,2;20;0,00;0,00;False;False;3;Left;
RZ22;9;Waypoint;2;0,9;0,3003197;200,7361;196,9153;196,9153;598,4343;(-0.37, -0.44, 1.06);9,427238;False;False;1;0,2056476;0,00;0,00;0,00;0;0;0;0;0;0,9;0,0;0,0;0,0;3682,5;20;0,00;0,00;False;False;3;Left;
RZ22;9;Waypoint;2;1,0;0,2963793;200,44;196,9153;196,9153;598,1382;(-0.45, -0.44, 1.31);10,70286;False;False;1;0,1962667;0,00;0,00;0,00;0;0;0;0;0;1,0;0,0;0,0;0,0;3682,8;20;0,00;0,00;False;False;3;Left;
RZ22;9;Waypoint;2;1,1;0,3948498;200,0452;196,3438;196,3438;597,7436;(-0.56, -0.44, 1.63);12,28891;False;False;1;0,1888187;0,00;0,00;0,00;0;0;0;0;0;1,1;0,0;0,0;0,0;3683,1;20;0,00;0,00;False;False;3;Left;
RZ22;9;Waypoint;2;1,2;0,4494602;199,5959;195,7724;195,7724;597,2946;(-0.69, -0.44, 2.01);13,97792;False;False;1;0,1823806;0,00;0,00;0,00;0;0;0;0;0;1,2;0,0;0,0;0,0;3683,4;20;0,00;0,00;False;False;3;Left;
RZ22;9;Waypoint;2;1,3;0,4302695;199,1657;195,2009;195,2009;596,8644;(-0.81, -0.44, 2.36);15,43014;False;False;1;0,1770123;0,00;0,00;0,00;0;0;0;0;0;1,3;0,0;0,0;0,0;3683,9;20;0,00;0,00;False;False;3;Left;
