X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
40;148;0.01598072;0.108304;0.0399558;0.2707871;14255.1;0.2734882;False;29.08.2023 15:33:44:726;1693316024726;_requestList;
80;182;0.031418;0.1330674;0.0678646;0.07882012;14268.9;0.2414593;False;29.08.2023 15:33:44:741;1693316024741;_requestList;
65;185;0.02542155;0.1353084;-0.04472094;0.0881089;14291.2;0.2472032;False;29.08.2023 15:33:44:757;1693316024757;_requestList;
35;178;0.01384445;0.1300553;-0.04472094;0.0881089;14311.2;0.2472034;False;29.08.2023 15:33:44:777;1693316024777;_requestList;
11;144;0.004681702;0.1056195;-0.02206307;-0.05587303;14339.3;0.2277311;False;29.08.2023 15:33:44:825;1693316024825;_requestList;
-5;105;-0.00229868;0.07672009;-0.02206307;-0.05587303;14364.6;0.227731;False;29.08.2023 15:33:44:840;1693316024840;Offscreen;
-47;75;-0.01872934;0.05529446;-0.1228455;-0.003367538;14414.9;0.2334437;False;29.08.2023 15:33:44:857;1693316024857;Offscreen;
-95;54;-0.03730833;0.03952856;-0.1228459;-0.003367538;14460.1;0.2334437;False;29.08.2023 15:33:44:874;1693316024874;Offscreen;
-135;16;-0.05289309;0.01193194;-0.1059053;-0.150592;14528.1;0.2187804;False;29.08.2023 15:33:44:890;1693316024890;Offscreen;
-167;-24;-0.06546048;-0.01777228;-0.1059063;-0.1505882;14589.3;0.2187807;False;29.08.2023 15:33:44:907;1693316024907;Offscreen;
-231;-29;-0.09062477;-0.02119152;-0.2470229;0.07064904;14612.2;0.2157593;False;29.08.2023 15:33:44:924;1693316024924;Offscreen;
-303;-17;-0.1185611;-0.01275134;-0.2470234;0.07064904;14632.8;0.2157593;False;29.08.2023 15:33:44:940;1693316024940;Offscreen;
-353;7;-0.1382803;0.0052578;-0.1878155;0.1196221;14639.4;0.2297501;False;29.08.2023 15:33:44:958;1693316024958;Offscreen;
-389;34;-0.1522691;0.02550592;-0.1878155;0.1196221;14645.4;0.22975;False;29.08.2023 15:33:44:973;1693316024973;Offscreen;
-402;33;-0.1573804;0.02480748;-0.1428869;-0.06298744;14693.5;0.2136959;False;29.08.2023 15:33:44:991;1693316024991;Offscreen;
-404;20;-0.1580523;0.01501336;-0.1428869;-0.06298744;14736.8;0.2136959;False;29.08.2023 15:33:45:7;1693316025007;Offscreen;
-415;23;-0.1624973;0.0171546;-0.196462;0.07451332;14781.6;0.2188248;False;29.08.2023 15:33:45:23;1693316025023;Offscreen;
